Station,Lon,Lat,data
59981,112.2,16.5,269.1333333
59985,111.37,16.32,265.3333333
59948,109.31,18.14,261.8333333
59954,110.02,18.3,250.8
59940,109.1,18.45,247.9333333
59945,109.42,18.39,247.7
59758,110.21,20.02,246.0666667
59951,110.22,18.48,245.9333333
59838,108.37,19.06,245.4333333
59847,109.03,19.16,241.7333333
59855,110.28,19.14,241.0333333
59757,110.22,20,240.8
59856,110.45,19.37,237.9666667
59842,109.41,19.54,237.1666667
59656,110.46,21.26,237.0333333
59664,111,21.3,236.5333333
59851,110.2,19.42,236.4
59854,110.06,19.22,236.0333333
59843,110,19.44,234.4666667
59845,109.35,19.31,232.2333333
59654,110.17,21.38,230.8333333
59480,113.15,22.51,229.2333333
59849,109.5,19.02,229.2
59493,114.06,22.33,229.1333333
59485,113.21,22.32,228.4333333
59650,110.15,21.23,228.2666667
59475,112.41,22.22,228.1
59754,110.11,20.2,228.1
59647,109.06,21.02,227.7333333
59941,109.31,18.46,227.6333333
59655,110.37,21.39,227.6
59848,109.26,19.14,227.4333333
59750,110.06,20.55,225.9333333
59487,113.17,22.13,225.7333333
59500,115.19,22.58,225.5666667
59288,113.08,23.03,225.5
59477,112.18,22.11,225.4666667
59659,110.55,21.45,225.4333333
59469,111.47,22.1,225.4
59658,110.18,21.09,225.2666667
59456,110.56,22.21,225.1333333
59673,112.46,21.44,224.7
59488,113.35,22.17,224.4333333
59626,107.58,21.32,224.3666667
59653,110.51,21.56,223.9666667
59501,115.22,22.48,223.8333333
59640,109.11,21.4,222.9333333
59318,116.35,23.16,222.4333333
59287,113.2,23.1,222.0333333
59312,116.38,23.4,222.0333333
59315,116.23,23.34,221.8333333
59289,113.44,22.58,221.6333333
59476,113.02,22.32,221.3
59316,116.41,23.24,220.7666667
59481,113.19,22.56,220.6666667
59473,112.58,22.46,220.6333333
59502,115.39,22.57,220.6333333
59319,116.46,23.28,220.2
59298,114.25,23.05,220.1333333
59278,112.27,23.02,220.0333333
59663,111.58,21.5,220.0333333
59284,113.13,23.23,219.9666667
59644,109.08,21.27,219.7333333
59306,115.5,23.26,219.2333333
59317,116.18,23.02,218.6333333
59297,114.17,23.11,218.6
59632,108.37,21.57,218.5333333
59478,112.47,22.15,218.5
59635,108.21,21.37,218.3666667
59449,109.59,22.16,218
59324,117.02,23.26,217.9333333
56989,103.57,22.3,217.5333333
59453,110.1,22.39,217.4333333
59322,117.22,23.59,215.8
59462,111.34,22.46,215.7333333
59313,116.59,23.41,215.7
59293,114.41,23.44,215.6666667
59321,117.3,23.47,215.6333333
59451,110.21,22.42,215.5
59126,117.39,24.3,215.4666667
59314,116.08,23.18,214.6666667
59310,116.11,23.46,213.4
59279,112.52,23.11,213.0666667
59280,113.03,23.4,212.5
59254,110.05,23.24,212.4
59255,110.23,23.33,212.2
59320,117.08,23.46,212.2
59631,108.21,21.47,212.0666667
59294,113.5,23.2,211.2
59130,118.09,24.44,211.0666667
59492,114.42,22.55,211.0666667
59127,117.5,24.26,211.0333333
59432,108.21,22.49,210.8666667
56976,102.5,23.14,210.2666667
59129,117.36,24.08,209.4666667
59131,118.22,24.58,209.4666667
56959,100.47,22,209.4
59457,110.16,22.19,208.9333333
59122,117.45,24.37,208.9
59276,112.41,23.21,208.7666667
59249,109.37,23.07,208.6666667
59137,118.34,24.49,208.6333333
59237,108.17,23.1,208.4666667
59268,111.32,23.15,208.4333333
59269,111.46,23.09,208.3
59435,108.29,22.46,208.2333333
59471,112.03,22.56,207.9666667
59425,107.21,22.24,207.5666667
56966,101.59,23.36,207.2666667
59285,113.35,23.33,206.8666667
59470,112.13,22.43,206.7
59125,117.19,24.23,206.6666667
59454,111,22.55,206.3666667
59303,115.46,23.56,206.2333333
59452,110.32,22.51,206
59134,118.04,24.29,205.9666667
58929,118.09,25.04,205.9
59448,109.33,22.16,205.1
56969,101.34,21.29,204.7
59133,118.55,24.54,204.7
59213,106.55,23.44,204.7
59117,116.06,24.16,204.6
59124,117.22,24.31,204.5666667
58938,118.59,25.14,204.4666667
58946,119,25.27,204.3666667
59266,111.14,23.25,204.1
59087,113.32,23.52,203.8333333
59426,107.54,22.38,203.7
58936,118.42,25.22,203.4666667
58940,119.2,26.05,203.3
59228,107.35,23.19,203.2333333
59446,109.18,22.25,203.0333333
58944,119.47,25.31,203
59114,116.1,24.39,202.1333333
59441,109.15,22.42,202.1333333
59224,107.07,23.36,202
59270,112.11,23.55,201.7666667
59265,111.18,23.29,201.2666667
59211,106.36,23.54,201.2
59230,108.1,23.43,201.2
59088,113.25,24.11,201.1
59417,106.51,22.2,201.0666667
59256,110.55,23.22,200.4333333
59271,112.26,23.38,200.2666667
58942,119.23,25.43,200.1
59427,107.04,22.07,199.8
59037,108.06,23.56,199.3333333
59246,109.4,23.36,199.2333333
59109,115.44,24.09,199.2
59107,115.15,24.06,199.0333333
59238,108.48,23.13,198.6666667
58847,119.17,26.05,197.8333333
59242,109.14,23.45,197.8
59429,107.58,22.09,197.8
59304,115.11,23.38,197.7666667
59419,106.45,22.06,197.4
59116,116.42,24.2,197.2666667
59229,107.42,23.11,197.2333333
59264,111.3,23.27,197.2333333
58934,118.16,25.2,197.1
59290,114.14,23.44,196.3333333
58844,119.09,26.09,196.2333333
59421,107.12,22.5,196.2333333
58941,119.3,25.58,195.9
59431,108.13,22.38,195.4
58926,117.25,25.18,195.2666667
58928,117.32,25.01,195.1666667
59241,109.41,23.58,194.8666667
58839,118.51,26.14,194.2333333
59046,109.24,24.21,194.0666667
57927,107.1,25,193.9333333
59106,115.54,24.35,193.7666667
59045,109.45,24.29,193.2333333
59023,108.03,24.42,193.0666667
59038,108.39,24.04,193.0666667
59235,108.37,23.26,193.0666667
59094,114.07,24.22,192.5333333
59075,112.38,24.29,192.5
58846,119.31,26.4,192.3666667
58848,119.32,26.12,192.1
59015,106.34,24.21,192.0666667
59017,106.14,24.17,191.8333333
59097,114.12,24.03,191.8333333
58927,117.02,25.05,191.7666667
59047,109.2,24.15,191
58932,118.56,25.52,190.9
